"time","sarja","values"
1999-05-12,"euribor3kk",2.578
1999-05-12,"euribor6kk",2.599
1999-05-13,"euribor12kk",2.68
1999-05-13,"euribor1kk",2.56
1999-05-13,"euribor1vko",2.546
1999-05-13,"euribor3kk",2.577
1999-05-13,"euribor6kk",2.594
1999-05-14,"euribor12kk",2.668
1999-05-14,"euribor1kk",2.557
1999-05-14,"euribor1vko",2.546
1999-05-14,"euribor3kk",2.57
1999-05-14,"euribor6kk",2.586
1999-05-17,"euribor12kk",2.678
1999-05-17,"euribor1kk",2.56
1999-05-17,"euribor1vko",2.55
1999-05-17,"euribor3kk",2.575
1999-05-17,"euribor6kk",2.592
1999-05-18,"euribor12kk",2.677
1999-05-18,"euribor1kk",2.56
1999-05-18,"euribor1vko",2.554
1999-05-18,"euribor3kk",2.576
1999-05-18,"euribor6kk",2.592
1999-05-19,"euribor12kk",2.688
1999-05-19,"euribor1kk",2.576
1999-05-19,"euribor1vko",2.617
1999-05-19,"euribor3kk",2.583
1999-05-19,"euribor6kk",2.597
1999-05-20,"euribor12kk",2.688
1999-05-20,"euribor1kk",2.577
1999-05-20,"euribor1vko",2.597
1999-05-20,"euribor3kk",2.584
1999-05-20,"euribor6kk",2.598
1999-05-21,"euribor12kk",2.686
1999-05-21,"euribor1kk",2.574
1999-05-21,"euribor1vko",2.575
1999-05-21,"euribor3kk",2.581
1999-05-21,"euribor6kk",2.597
1999-05-24,"euribor12kk",2.682
1999-05-24,"euribor1kk",2.569
1999-05-24,"euribor1vko",2.565
1999-05-24,"euribor3kk",2.579
1999-05-24,"euribor6kk",2.596
1999-05-25,"euribor12kk",2.679
1999-05-25,"euribor1kk",2.569
1999-05-25,"euribor1vko",2.565
1999-05-25,"euribor3kk",2.579
1999-05-25,"euribor6kk",2.596
1999-05-26,"euribor12kk",2.678
1999-05-26,"euribor1kk",2.566
1999-05-26,"euribor1vko",2.558
1999-05-26,"euribor3kk",2.577
1999-05-26,"euribor6kk",2.594
1999-05-27,"euribor12kk",2.678
1999-05-27,"euribor1kk",2.565
1999-05-27,"euribor1vko",2.555
1999-05-27,"euribor3kk",2.577
1999-05-27,"euribor6kk",2.593
1999-05-28,"euribor12kk",2.685
1999-05-28,"euribor1kk",2.565
1999-05-28,"euribor1vko",2.555
1999-05-28,"euribor3kk",2.578
1999-05-28,"euribor6kk",2.596
1999-05-31,"euribor12kk",2.687
1999-05-31,"euribor1kk",2.566
1999-05-31,"euribor1vko",2.555
1999-05-31,"euribor3kk",2.578
1999-05-31,"euribor6kk",2.596
1999-06-01,"euribor12kk",2.735
1999-06-01,"euribor1kk",2.571
1999-06-01,"euribor1vko",2.557
1999-06-01,"euribor3kk",2.585
1999-06-01,"euribor6kk",2.615
1999-06-02,"euribor12kk",2.812
1999-06-02,"euribor1kk",2.577
1999-06-02,"euribor1vko",2.561
1999-06-02,"euribor3kk",2.601
1999-06-02,"euribor6kk",2.657
1999-06-03,"euribor12kk",2.784
1999-06-03,"euribor1kk",2.575
1999-06-03,"euribor1vko",2.56
1999-06-03,"euribor3kk",2.597
1999-06-03,"euribor6kk",2.649
1999-06-04,"euribor12kk",2.795
1999-06-04,"euribor1kk",2.576
1999-06-04,"euribor1vko",2.562
1999-06-04,"euribor3kk",2.597
1999-06-04,"euribor6kk",2.651
1999-06-07,"euribor12kk",2.805
1999-06-07,"euribor1kk",2.579
1999-06-07,"euribor1vko",2.565
1999-06-07,"euribor3kk",2.602
1999-06-07,"euribor6kk",2.654
1999-06-08,"euribor12kk",2.784
1999-06-08,"euribor1kk",2.582
1999-06-08,"euribor1vko",2.565
1999-06-08,"euribor3kk",2.6
1999-06-08,"euribor6kk",2.648
1999-06-09,"euribor12kk",2.781
1999-06-09,"euribor1kk",2.583
1999-06-09,"euribor1vko",2.566
1999-06-09,"euribor3kk",2.603
1999-06-09,"euribor6kk",2.647
1999-06-10,"euribor12kk",2.794
1999-06-10,"euribor1kk",2.585
1999-06-10,"euribor1vko",2.569
1999-06-10,"euribor3kk",2.605
1999-06-10,"euribor6kk",2.651
1999-06-11,"euribor12kk",2.831
1999-06-11,"euribor1kk",2.599
1999-06-11,"euribor1vko",2.574
1999-06-11,"euribor3kk",2.619
1999-06-11,"euribor6kk",2.667
1999-06-14,"euribor12kk",2.836
1999-06-14,"euribor1kk",2.602
1999-06-14,"euribor1vko",2.576
1999-06-14,"euribor3kk",2.623
1999-06-14,"euribor6kk",2.67
1999-06-15,"euribor12kk",2.838
1999-06-15,"euribor1kk",2.603
1999-06-15,"euribor1vko",2.581
1999-06-15,"euribor3kk",2.625
1999-06-15,"euribor6kk",2.672
1999-06-16,"euribor12kk",2.838
1999-06-16,"euribor1kk",2.607
1999-06-16,"euribor1vko",2.594
1999-06-16,"euribor3kk",2.628
1999-06-16,"euribor6kk",2.671
1999-06-17,"euribor12kk",2.834
1999-06-17,"euribor1kk",2.612
1999-06-17,"euribor1vko",2.602
1999-06-17,"euribor3kk",2.632
1999-06-17,"euribor6kk",2.67
1999-06-18,"euribor12kk",2.819
1999-06-18,"euribor1kk",2.616
1999-06-18,"euribor1vko",2.616
1999-06-18,"euribor3kk",2.632
1999-06-18,"euribor6kk",2.665
1999-06-21,"euribor12kk",2.817
1999-06-21,"euribor1kk",2.625
1999-06-21,"euribor1vko",2.651
1999-06-21,"euribor3kk",2.637
1999-06-21,"euribor6kk",2.668
1999-06-22,"euribor12kk",2.842
1999-06-22,"euribor1kk",2.631
1999-06-22,"euribor1vko",2.647
1999-06-22,"euribor3kk",2.645
1999-06-22,"euribor6kk",2.676
1999-06-23,"euribor12kk",2.856
1999-06-23,"euribor1kk",2.628
1999-06-23,"euribor1vko",2.612
1999-06-23,"euribor3kk",2.647
1999-06-23,"euribor6kk",2.679
1999-06-24,"euribor12kk",2.878
1999-06-24,"euribor1kk",2.627
1999-06-24,"euribor1vko",2.604
1999-06-24,"euribor3kk",2.649
1999-06-24,"euribor6kk",2.688
1999-06-25,"euribor12kk",2.928
1999-06-25,"euribor1kk",2.631
1999-06-25,"euribor1vko",2.612
1999-06-25,"euribor3kk",2.66
1999-06-25,"euribor6kk",2.712
1999-06-28,"euribor12kk",2.928
1999-06-28,"euribor1kk",2.636
1999-06-28,"euribor1vko",2.63
1999-06-28,"euribor3kk",2.664
1999-06-28,"euribor6kk",2.718
1999-06-29,"euribor12kk",2.927
1999-06-29,"euribor1kk",2.639
1999-06-29,"euribor1vko",2.639
1999-06-29,"euribor3kk",2.667
1999-06-29,"euribor6kk",2.811
1999-06-30,"euribor12kk",2.936
1999-06-30,"euribor1kk",2.636
1999-06-30,"euribor1vko",2.629
1999-06-30,"euribor3kk",2.669
1999-06-30,"euribor6kk",2.823
1999-07-01,"euribor12kk",2.91
1999-07-01,"euribor1kk",2.631
1999-07-01,"euribor1vko",2.621
1999-07-01,"euribor3kk",2.655
1999-07-01,"euribor6kk",2.811
1999-07-02,"euribor12kk",2.956
1999-07-02,"euribor1kk",2.636
1999-07-02,"euribor1vko",2.624
1999-07-02,"euribor3kk",2.663
1999-07-02,"euribor6kk",2.841
1999-07-05,"euribor12kk",2.956
1999-07-05,"euribor1kk",2.634
1999-07-05,"euribor1vko",2.62
1999-07-05,"euribor3kk",2.662
1999-07-05,"euribor6kk",2.843
1999-07-06,"euribor12kk",2.971
1999-07-06,"euribor1kk",2.633
1999-07-06,"euribor1vko",2.616
1999-07-06,"euribor3kk",2.663
1999-07-06,"euribor6kk",2.851
1999-07-07,"euribor12kk",2.976
1999-07-07,"euribor1kk",2.624
1999-07-07,"euribor1vko",2.599
1999-07-07,"euribor3kk",2.663
1999-07-07,"euribor6kk",2.853
1999-07-08,"euribor12kk",2.983
1999-07-08,"euribor1kk",2.623
1999-07-08,"euribor1vko",2.593
1999-07-08,"euribor3kk",2.664
1999-07-08,"euribor6kk",2.86
1999-07-09,"euribor12kk",2.991
1999-07-09,"euribor1kk",2.624
1999-07-09,"euribor1vko",2.59
1999-07-09,"euribor3kk",2.665
1999-07-09,"euribor6kk",2.865
1999-07-12,"euribor12kk",2.997
1999-07-12,"euribor1kk",2.625
1999-07-12,"euribor1vko",2.588
1999-07-12,"euribor3kk",2.665
1999-07-12,"euribor6kk",2.868
1999-07-13,"euribor12kk",2.994
1999-07-13,"euribor1kk",2.625
1999-07-13,"euribor1vko",2.585
1999-07-13,"euribor3kk",2.666
1999-07-13,"euribor6kk",2.868
1999-07-14,"euribor12kk",2.977
